股票编号,报告日期,基本每股收益,净利率,流动比率,速动比率
00050,2015-06,0.3943,22.3648,269600.0,52100.0
00051,2018-12,1.0252,52.2426,568700.0,473500.0
00051,2018-06,0.43,48.3784,177100.0,422400.0
00051,2017-12,1.5548,23.1385,261300.0,569600.0
00051,2017-06,0.677,24.3455,322100.0,611900.0
00051,2016-12,0.8766,21.4165,694300.0000000001,811700.0
00051,2016-06,0.5128,22.1416,670000.0,641300.0
00051,2015-12,1.4577,27.8328,832700.0,657800.0
00051,2015-06,0.6624,25.0623,735200.0,524700.0
00052,2018-09,0.6899,6.8337,69000.0,51500.0
00052,2018-03,1.3554,7.6068,53300.0,36400.0
00052,2017-09,0.7796,8.3293,63900.0,50800.0
00052,2017-03,1.4332,7.9538,55500.0,37000.0
00052,2016-09,0.7035,8.2628,64600.0,47900.0
00052,2016-03,1.3217,8.2694,54700.0,33000.0
00052,2015-09,0.6618,8.6686,56300.0,37000.0
00052,2015-03,0.904,6.4131,42600.0,25299.999999999996
00054,2018-09,6.6788,809.7365,933300.0,126300.00000000001
00054,2018-06,8.6924,463.814,950400.0000000001,120600.0
00054,2017-12,2.0313,205.7668,485500.0,206100.0
00054,2017-06,1.9528,94.2071,503500.0,219600.0
00054,2016-12,0.8856,76.4583,527100.0,117000.0
00054,2016-06,2.7093,161.8641,496700.0,132200.0
00054,2015-12,1.4996,189.7138,633800.0,139300.0
00054,2015-06,2.563,165.1011,677200.0,120100.0
00055,2018-12,-0.131,-6.45,65500.0,19200.0
00055,2018-06,-0.0759,-8.4165,60000.0,16800.0
00055,2017-12,0.1587,9.301,63300.0,15500.0
00055,2017-06,0.0137,1.7757,65300.0,14200.0
00055,2016-12,0.3006,13.1466,62400.0,17000.0
00055,2016-06,0.1601,14.3691,60800.0,14200.0
00055,2015-12,-0.0306,-12.9577,56600.0,12800.0
00055,2015-06,-0.0165,-15.1107,46800.0,10300.0
00057,2018-09,0.0273,2.1914,192500.0,55100.0
00057,2018-03,0.1298,6.1654,195100.00000000003,60800.0
00057,2017-09,0.0892,7.5864,199000.0,63500.0
00057,2017-03,0.0728,3.5394,193299.99999999997,58500.0
00057,2016-09,0.0293,2.9661,178500.0,49500.0
00057,2016-03,-0.2291,-13.962,172300.0,47699.99999999999
00057,2015-09,-0.0772,-9.2026,193700.0,64100.0
00057,2015-03,0.0253,1.1991,199300.0,65000.0
